type,name,info,timestamp
hyperlink,Purificador,https://www.amazon.com.mx/b/?_encoding=UTF8&ie=UTF8&node=20975608011&pd_rd_w=V606e&content-id=amzn1.sym.4dd08fb7-1139-4b10-946b-3042663803aa&pf_rd_p=4dd08fb7-1139-4b10-946b-3042663803aa&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Ver más de climatización,https://www.amazon.com.mx/b/?_encoding=UTF8&node=20975478011&pd_rd_w=V606e&content-id=amzn1.sym.4dd08fb7-1139-4b10-946b-3042663803aa&pf_rd_p=4dd08fb7-1139-4b10-946b-3042663803aa&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,,https://www.amazon.com.mx/dp/B0CYHGTMNH/?_encoding=UTF8&psc=1&pd_rd_w=l1i8C&content-id=amzn1.sym.89ada862-9cde-4465-a24e-1704db009523&pf_rd_p=89ada862-9cde-4465-a24e-1704db009523&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Ver más,https://www.amazon.com.mx/stores/SONOS/SONOS/page/73446A96-2238-4259-B055-12DECF9BE58F/?_encoding=UTF8&pd_rd_w=l1i8C&content-id=amzn1.sym.89ada862-9cde-4465-a24e-1704db009523&pf_rd_p=89ada862-9cde-4465-a24e-1704db009523&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Audífonos,https://www.amazon.com.mx/s/?_encoding=UTF8&hidden-keywords=audifonos&pd_rd_w=LKSnP&content-id=amzn1.sym.473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_p=473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Tablets,https://www.amazon.com.mx/s/?_encoding=UTF8&hidden-keywords=tablets&pd_rd_w=LKSnP&content-id=amzn1.sym.473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_p=473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Accesorios,https://www.amazon.com.mx/s/?_encoding=UTF8&hidden-keywords=accesorios%20pc&i=electronics&pd_rd_w=LKSnP&content-id=amzn1.sym.473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_p=473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Streaming,https://www.amazon.com.mx/s/?_encoding=UTF8&hidden-keywords=streaming&i=electronics&pd_rd_w=LKSnP&content-id=amzn1.sym.473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_p=473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Ver más ofertas,https://www.amazon.com.mx/b/?_encoding=UTF8&ie=UTF8&node=121227048011&pd_rd_w=LKSnP&content-id=amzn1.sym.473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_p=473e746d-4f28-4e17-a51a-2c63d1c8f4ba&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
hyperlink,Calico Critters,https://www.amazon.com.mx/s/?_encoding=UTF8&hidden-keywords=calico%20critters%20ternurines&pd_rd_w=x9nBZ&content-id=amzn1.sym.46ad4dd7-2ec7-4e6b-86e6-6abd0f1b2a1a&pf_rd_p=46ad4dd7-2ec7-4e6b-86e6-6abd0f1b2a1a&pf_rd_r=KK23XX932DXCWRYR15B2&pd_rd_wg=ANZEy&pd_rd_r=4daa2906-fb8e-400c-aff9-dd407817ffdf&ref_=pd_hp_d_atf_unk,2024-05-28 23:54:41
